api_spot_id,receive,type
125769,0.0,SPOT
3022373,0.0,SPOT
2465063,0.0,SPOT
126897,0.0,SPOT
128293,0.0,SPOT
2605187,0.0,SPOT
3507377,0.0,SPOT
2628994,0.0,SPOT
1086405,0.0,SPOT
3069504,0.0,SPOT
128359,0.0,SPOT
125800,0.0,SPOT
2414769,0.0,SPOT
128759,0.0,SPOT
2706354,0.0,SPOT
2702581,0.0,SPOT
125789,0.0,SPOT
2588752,0.0,SPOT
125788,0.0,SPOT
126898,0.0,SPOT
3379937,0.0,SPOT
128360,0.0,SPOT
129337,0.0,SPOT
129584,0.0,SPOT
3542927,0.0,SPOT
3050590,0.0,SPOT
3406885,0.0,SPOT
2804474,0.0,SPOT
2774698,0.0,SPOT
2930702,0.0,SPOT
3544376,0.0,SPOT
2414791,0.0,SPOT
3547638,0.0,SPOT
2731193,0.0,SPOT
3546554,0.0,SPOT
125787,0.0,SPOT
2721544,0.0,SPOT
585522,0.0,SPOT
3101665,0.0,SPOT
3547899,0.0,SPOT
2753909,0.0,SPOT
128961,0.0,SPOT
2702651,0.0,SPOT
2753912,0.0,SPOT
2462890,0.0,SPOT
2765231,0.0,SPOT
809490,0.0,SPOT
3043735,0.0,SPOT
3015292,0.0,SPOT
2733968,0.0,SPOT
2743393,0.0,SPOT
1957340,0.0,SPOT
125481,0.0,SPOT
2774103,0.0,SPOT
2705409,0.0,SPOT
2788447,0.0,SPOT
1622799,0.0,SPOT
1201163,0.0,SPOT
128778,0.0,SPOT
1857095,0.0,SPOT
2610850,0.0,SPOT
2614901,0.0,SPOT
895963,0.0,SPOT
127433,0.0,SPOT
125735,0.0,SPOT
2704116,0.0,SPOT
127050,0.0,SPOT
2779517,0.0,SPOT
2745423,0.0,SPOT
128670,0.0,SPOT
801871,0.0,SPOT
126416,0.0,SPOT
2656352,0.0,SPOT
1624429,0.0,SPOT
1349796,0.0,SPOT
2515265,0.0,SPOT
128952,0.0,SPOT
129693,0.0,SPOT
1350167,0.0,SPOT
2515789,0.0,SPOT
226926,0.0,SPOT
129697,0.0,SPOT
127110,0.0,SPOT
129316,0.0,SPOT
128151,0.0,SPOT
129692,0.0,SPOT
126645,0.0,SPOT
127111,0.0,SPOT
1624164,0.0,SPOT
2357460,0.0,SPOT
126347,0.0,SPOT
527227,0.0,SPOT
1625118,0.0,SPOT
126249,0.0,SPOT
1610495,0.0,SPOT
127651,0.0,SPOT
3018216,0.0,SPOT
3457289,0.0,SPOT
2706334,0.0,SPOT
2710738,0.0,SPOT
125605,0.0,SPOT
